"Var2","C","C_1","C_2","L_s","L_1_s","L_2_s","K_s","K_1_s","I","I_1","Y","A","Case","ShockType"
"35",0.00239362719807064,0.00249130971767034,0.00228304929569755,-0.000196245398273311,-0.000440946448440873,0,0.00319388048187192,0.00319388048187192,0.00106511393561105,0.00106511393561105,0.0020868038985048,0.00104894768834279,"sd_epsilon_A = 0.6","A"
"36",0.00228960424068137,0.00238509730216496,0.00218150483381398,-0.000191846749650094,-0.000431063065163252,0,0.00306169975115989,0.00306169975115989,0.000990868303338046,0.000990868303338046,0.00198965808519663,0.000996500303925647,"sd_epsilon_A = 0.6","A"
"37",0.00218919867289526,0.00228233919885567,0.00208376236731229,-0.000187120476485888,-0.000420443537858032,0,0.00293334524399939,0.0029333452439994,0.000922457965151715,0.000922457965151715,0.00189664189181309,0.000946675288729365,"sd_epsilon_A = 0.6","A"
"38",0.00209238981336397,0.00218305044717693,0.00198976077844622,-0.000182138342278071,-0.000409249112901367,0,0.00280890711490281,0.00280890711490281,0.000859376425723027,0.000859376425723027,0.00180762243711052,0.000899341524292896,"sd_epsilon_A = 0.6","A"
"39",0.00199914181268906,0.00208722634423768,0.00189942895955957,-0.000176962920747812,-0.000397620388036542,0,0.00268844254200481,0.00268844254200482,0.000801164233269567,0.000801164233269566,0.00172246603971152,0.000854374448078252,"sd_epsilon_A = 0.6","A"
"40",0.00190940605057639,0.00199484535270382,0.00181268763208977,-0.000171648621898971,-0.000385679617839634,0,0.00257198025532336,0.00257198025532336,0.000747404430647238,0.000747404430647238,0.00164103901104962,0.000811655725674339,"sd_epsilon_A = 0.6","A"
"1",0.00460636566767781,0.00330205189604543,0.00608286608448195,0.00262038260664891,0.005887773240359,0,0.00134072681047985,0.00134072681047985,0.0223454468413308,0.0223454468413308,0.0087032486938335,0.007,"sd_epsilon_A = 0.7","A"
"2",0.00506190685700424,0.00394083891646406,0.0063309705727095,0.00225223945039248,0.00506058738654095,0,0.00247881039671817,0.00247881039671816,0.0203087865811185,0.0203087865811185,0.0085832100259415,0.00665,"sd_epsilon_A = 0.7","A"
"3",0.00542530020600474,0.00446637772806844,0.00651081311643259,0.00192648719715241,0.00432865022798912,0,0.00343809878416413,0.00343809878416413,0.0184669501874843,0.0184669501874843,0.00843730031652706,0.0063175,"sd_epsilon_A = 0.7","A"
"4",0.00570816956623075,0.0048925546693492,0.0066314564021047,0.00163858048249726,0.00368174872367834,0,0.00423986031541543,0.00423986031541543,0.0168007909716859,0.0168007909716859,0.00827003688761668,0.006001625,"sd_epsilon_A = 0.7","A"
"5",0.005920847921721,0.0052317299583715,0.00670093855807099,0.00138444656802645,0.00311073178242614,0,0.00490305294999436,0.00490305294999436,0.0152930708917309,0.0152930708917309,0.00808538512915896,0.00570154375,"sd_epsilon_A = 0.7","A"
"6",0.00607251371195641,0.00549489813098471,0.00672638217873639,0.00116043689352324,0.00260740140476773,0,0.00544456590700759,0.00544456590700759,0.013928268900215,0.013928268900215,0.00788681907534564,0.0054164665625,"sd_epsilon_A = 0.7","A"
"7",0.0061713130785715,0.00569183194762972,0.0067140920517623,0.000963283561552302,0.00216441490760772,0,0.00587943646899846,0.00587943646899846,0.0126924086068555,0.0126924086068555,0.00767737561640592,0.005145643234375,"sd_epsilon_A = 0.7","A"
"8",0.00622446947395181,0.00583121145600076,0.0066696427444062,0.00079006025400222,0.00177519710706914,0,0.00622104447919699,0.00622104447919699,0.0115729033056407,0.0115729033056407,0.00745970300148863,0.00488836107265625,"sd_epsilon_A = 0.7","A"
"9",0.00623838192366834,0.00592073972540189,0.00659795708750951,0.000638147130776402,0.00143386144888567,0,0.00648128680725993,0.00648128680725993,0.0105584166135793,0.0105584166135793,0.00723610422134107,0.00464394301902344,"sd_epsilon_A = 0.7","A"
"10",0.00621871310334268,0.00596724661459814,0.00650337648995932,0.000505199306406855,0.00113513917807734,0,0.00667073382753497,0.00667073382753497,0.0096387371451774,0.0096387371451774,0.00700857579938449,0.00441174586807227,"sd_epsilon_A = 0.7","A"
"11",0.00617046827249935,0.00597678179653685,0.00638972392149095,0.000389118541322975,0.000874315731678172,0,0.00679876974624293,0.00679876974624293,0.00880466580600104,0.00880466580600104,0.00677884246578551,0.00419115857466866,"sd_epsilon_A = 0.7","A"
"12",0.00609806600189599,0.00595469813892569,0.00626036031637451,0.000288027821319139,0.000647173620996994,0,0.00687371842737764,0.00687371842737765,0.00804791443182154,0.00804791443182154,0.0065483881406103,0.00398160064593522,"sd_epsilon_A = 0.7","A"
"13",0.00600540153551512,0.0059057264278787,0.00611823507386378,0.00020024853184962,0.000449941144230874,0,0.00690295619944513,0.00690295619944513,0.00736101462850242,0.00736101462850242,0.00631848360856839,0.00378252061363846,"sd_epsilon_A = 0.7","A"
"14",0.00589590354276289,0.00583404232140282,0.00596593126240264,0.000124279963514568,0.000279246337063467,0,0.00689301297448532,0.00689301297448532,0.00673723578344841,0.00673723578344841,0.00609021122870511,0.00359339458295654,"sd_epsilon_A = 0.7","A"
"15",0.00577258493947235,0.0057433263292467,0.00580570607269418,5.87809118253038e-05,0.000132075628927934,0,0.0068496628754204,0.0068496628754204,0.00617051132340331,0.00617051132340331,0.005864486987236,0.00341372485380871,"sd_epsilon_A = 0.7","A"
"16",0.00563808838716957,0.00563681753453915,0.00563952700913256,2.55315835568848e-06,5.73672658179972e-06,0,0.00677800544610567,0.00677800544610567,0.00565537238684165,0.00565537238684165,0.00564208017013007,0.00324303861111828,"sd_epsilon_A = 0.7","A"
"17",0.00549472701793993,0.0055173616997793,0.00546910425913992,-4.54733580272533e-05,-0.00010217470485621,0,0.00668253840913198,0.00668253840913198,0.00518688816321088,0.00518688816321088,0.00542363090367734,0.00308088668056236,"sd_epsilon_A = 0.7","A"
